Arrival_ID	Date	Mandi_ID	Crop_Name	Variety	Arrival_Quantity_Quintals	Arrival_Quantity_Mt	Arrival_Quantity_Kg	Reported_Quantity	Reported_Unit	Farmer_Count	Is_Arrival_ID_Imputed	Is_Quantity_Negative_Flag
ARR0023778	23-06-2026	MANDI001	Mustard	PBW-343	335.18	33.518	33518	33518	Kilogram	84	FALSE	FALSE
ARR0008166	26-04-2026	MANDI001	Mustard	Hybrid	208.33	20.833	20833	20.833	Metric Tonne		FALSE	FALSE
ARR0014028	31-05-2026	MANDI001	Mustard		419.05	41.905	41905	41.905	Metric Tonne	85	FALSE	FALSE
ARR0005664	07-09-2026	MANDI001	Cotton	Pusa-1121	472.66	47.266	47266	47.266	Metric Tonne	90	FALSE	FALSE
ARR0021822	14-04-2026	MANDI001	Mustard	Premium	24.75	2.475	2475	24.75	Quintal	79	FALSE	FALSE
ARR0006341	10-04-2026	MANDI001	Mustard	HD-2967	2.7882	0.2788	278.82	278.82	Kilogram		FALSE	TRUE
ARR0018750	02-01-2026	MANDI001	Maize	HD-2967	58.14	5.814	5814	58.14	Quintal	134	FALSE	FALSE
ARR0012931	21-01-2026	MANDI001	Mustard	HD-2967	164.84	16.484	16484	16.484	Metric Tonne	90	FALSE	FALSE
ARR0001532	19-04-2026	MANDI001	Wheat	Local	53.59	5.359	5359	5359	Kilogram		FALSE	FALSE
ARR0004911	08-06-2026	MANDI001	Sugarcane	Local	361.59	36.159	36159	361.59	Quintal	41	FALSE	FALSE
ARR0024150	23-07-2026	MANDI001	Sugarcane	HD-2967	2.0564	0.2056	205.64	205.64	Kilogram	142	FALSE	TRUE
ARR0013220	15-03-2026	MANDI001	Cotton	Local	66.71	6.671	6671	6671	Kilogram	48	FALSE	FALSE
ARR0014251	01-03-2026	MANDI001	Wheat	HD-2967	126.31	12.631	12631	12631	Kilogram	144	FALSE	FALSE
ARR0008663	15-06-2026	MANDI001	Rice	Premium	419.44	41.944	41944	41.944	Metric Tonne	126	FALSE	FALSE
ARR0013255	17-07-2026	MANDI001	Sugarcane		216.39	21.639	21639	21639	Kilogram	24	FALSE	FALSE
ARR0007484	30-04-2026	MANDI001	Cotton	Pusa-1121	153.59	15.359	15359	153.59	Quintal	72	FALSE	FALSE
ARR0021775	05-01-2026	MANDI001	Sugarcane		346.77	34.677	34677	346.77	Quintal	51	FALSE	FALSE
ARR0010599	14-07-2026	MANDI001	Paddy	Hybrid	282.73	28.273	28273	28.273	Metric Tonne		FALSE	FALSE
ARR0019381	01-04-2026	MANDI001	Mustard	Hybrid	137.72	13.772	13772	13772	Kilogram	143	FALSE	FALSE
ARR0006683	23-02-2026	MANDI001	Mustard	PBW-343	87.73	8.773	8773	8.773	Metric Tonne	45	FALSE	FALSE
ARR0006940	09-09-2026	MANDI001	Wheat	HD-2967	483.11	48.311	48311	483.11	Quintal		FALSE	FALSE
ARR0007749	01-04-2026	MANDI001	Paddy		409.59	40.959	40959	409.59	Quintal	114	FALSE	FALSE
ARR0006305	05-01-2026	MANDI001	Wheat	Premium	157.97	15.797	15797	157.97	Quintal		FALSE	FALSE
ARR0019713	06-01-2026	MANDI001	Maize	Pusa-1121	389.31	38.931	38931	38.931	Metric Tonne	131	FALSE	FALSE
ARR0021546	20-05-2026	MANDI001	Mustard		373.2	37.32	37320	37.32	Metric Tonne	59	FALSE	FALSE
ARR0019354	23-06-2026	MANDI001	Wheat	HD-2967	487.49	48.749	48749	487.49	Quintal	59	FALSE	FALSE
ARR_IMP00145	07-06-2026	MANDI001	Cotton	PBW-343	207.43	20.743	20743	20743	Kilogram	128	TRUE	FALSE
ARR0024081	06-02-2026	MANDI001	Maize	Premium	176.58	17.658	17658	17.658	Metric Tonne	114	FALSE	FALSE
ARR0004603	08-08-2026	MANDI001	Sugarcane	PBW-343	313.99	31.399	31399	31.399	Metric Tonne	28	FALSE	FALSE
